id,question
11,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：小童（人群）属于或类似于___（人群）
#答案#
小儿
#候选#
['孕婴', '大儿童', '大童', '中童', '少年', '小学', '医生', '中大童', '大人', '青少年', '青年', '中大儿童', '中学生', '妈咪', '初三']"
12,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：新生婴儿（人群）属于或类似于___（人群）
#答案#
婴
#候选#
['宝妈', '中童', '孕妈', '学童', '妈咪', '大儿童', '大童', '医生', '孕妇', '中大小童', '成人', '少年', '产妇', '孕产妇', '母亲']"
13,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：美娃（人群）属于或类似于___（人群）
#答案#
胖娃
#候选#
['娃纸', '懒汉', '宠儿', '小萌人', '猴妈', '美妈', '汉子', '喜娘', '娜迷', '穷光蛋', '宝爹', '双亲', '果粉', '红颜', '千夫']"
14,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：老年人（人群）属于或类似于___（人群）
#答案#
老
#候选#
['中年', '年青人', '中年人', '青年', '宝妈', '亲子', '少年', '壮年人', '中青年', '儿子', '幼童', '老公', '青年人', '大儿童', '孩子']"
15,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：胖仔（人群）属于或类似于___（人群）
#答案#
胖子
#候选#
['胖妹', '老龄', '老奴', '老大妈', '猎手', '少奶奶', '大娘', '潮妹', '猎户', '美妞', '小祖宗', '美娃', '魔术师', '天王', '女王']"
16,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：辣妈（人群）属于或类似于___（人群）
#答案#
父母
#候选#
['老两口', '奶爸', '姨妈', '糖妈', '狗妈', '猴妈', '潮娃', '潮宝宝', '胖妞', '潮宝', '美丽女孩', '菇娘', '胖星人', '潮妞', '胖妹纸']"
17,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：部下（人群）属于或类似于___（人群）
#答案#
全民
#候选#
['同伙', '教工', '迷们', '邻里', '路人', '我们', '友人', '生员', '女编', '老公', '人犯', '老婆', '对手', '警员', '迷友']"
18,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：闺蜜（人群）属于或类似于___（人群）
#答案#
柜姐
#候选#
['闺女', '女编', '岳母', '婆婆', '老伴', '组员', '奶奶', '女宝', '表叔', '女娃娃', '女宝宝', '老婆', '弟弟', '妻子', '暖妈']"
19,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：高个子（人群）属于或类似于___（人群）
#答案#
少年
#候选#
['独个儿', '矮子', '软妹子', '小个子', '矮个子', '矮个', '女小个子', '矮个子们', '胖宝宝', '高祖母']"
20,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：高中生（人群）属于或类似于___（人群）
#答案#
胖孩子
#候选#
['小孩子', '婴幼儿童', '孩子', '宝宝', '婴幼儿', '儿童', '学龄儿童', '中大小童', '婴儿', '小宝宝', '小朋友', '小孩', '稚童', '宝贝', '幼童']"
21,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：儿童（人群）需要___（功能）
#答案#
显腿长
#候选#
['收腿', '修身显瘦', '遮肉', '修身', '烫发', '运动健身', '收腰', '减龄', '嫩肤', '晾晒', '收身', '减肥', '防脱落', '减肥瘦身', '两面穿']"
22,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：婴儿（人群）需要___（功能）
#答案#
储奶
#候选#
['育儿', '养生', '省电', '助眠', '保冷', '养颜', '叠穿', '节能', '束腰', '抗皱', '监听', '减龄', '紧身', '车用', '两面穿']"
23,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：儿童（人群）需要___（品类）
#答案#
牙刷架
#候选#
['砧板', '化妆品架', '假牙', '刮痧器具', '报刊架', '剃须刀', '洁厕剂', '自行车货架', '洗衣机罩', '浴室三角架', '花架', '锅铲', '美容仪', '窗帘扣', '工具锤']"
24,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：小学生（人群）需要___（品类）
#答案#
篮球
#候选#
['军服', '工装制服', '木材', '普通汽车', '挡风批', '文件柜', '咖啡杯', '鱼缸', '酒杯', '装卸车', '披肩', '工牌', '电动自行车', '环卫车', '宠物背包']"
25,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：幼儿园（人群）需要___（品类）
#答案#
防丢器
#候选#
['握力器', '环卫车', '手机支架', '面条机', '板羽球配件', '臂力器', '方向盘', '破壁机', '空调罩', '高尔夫球杆', '倒立机', '保龄球', '钳子', '拐杖', '汽车轮毂']"
26,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：情侣（人群）需要___（品类）
#答案#
头纱
#候选#
['僧服', '砖', '瓷砖', '婴儿床', '笼子', '猫砂', '防踢被', '积木', '纸尿裤', '门把手', '儿童座椅', '大富翁', '机器人']"
27,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：男（人群）需要___（品类）
#答案#
扬声器
#候选#
['接待台', '尿垫', '瑜伽包', '口红', '半身裙', '连衣裙', '围裙', '化妆棉', '孕妇套装', '文胸', '陶泥', '旗袍', '文胸内裤套装']"
28,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：儿童（人群）需要___（款式）
#答案#
冬款
#候选#
['经典款', '百搭款', '长款', '内搭', '短款', '毛领', '吊带', '拖尾', '系带', '中筒', '高领', '气垫', '淡妆', '带帽', '一脚蹬']"
29,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：儿童（人群）需要___（款式）
#答案#
手摇
#候选#
['一脚蹬', '拖尾', '系带', '中筒', '吊带', '长款', '带刻度', '带帽', '洞洞', '抽屉式', '支架式', '高领', '一体', '淡妆', '飞机师']"
30,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：儿童（人群）需要___（款式）
#答案#
变焦
#候选#
['淡妆', '带刻度', '带帽', '长款', '网面', '洞洞', '中筒', '拖尾', '双面', '毛领', '国标', '吊带', '系带', '支架式', '高领']"
31,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：学生（人群）需要___（款式）
#答案#
吊带
#候选#
['套头', '长袖', '圆领', '半袖', '露脐', '露肩', '露背', '中腰', '短款', '经典款', '高速', '充电式', '小功率', '自动', '变速']"
32,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：BB霜（品类）可以或者应该___（功能）
#答案#
润色
#候选#
['调色', '润滑', '清洁', '净化', '洁净', '洁面', '柔顺', '平衡', '卸妆', '去角质', '隐形', '清凉', '降温', '美腿', '无痕']"
33,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：T恤（品类）可以或者应该___（功能）
#答案#
抗菌
#候选#
['抗病毒', '防污', '防护', '防螨', '防臭', '防滑', '保鲜', '保温', '防雨', '净化', '护颈', '防身', '减压', '遮挡', '护肤']"
34,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：上衣（品类）可以或者应该___（功能）
#答案#
减龄时髦
#候选#
['逆龄', '减肥', '养生', '爽肤', '美腿', '散热', '降温', '保湿', '瘦腿', '美白', '环保', '置物', '保温', '收纳', '蓬松']"
35,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：主机（品类）可以或者应该___（功能）
#答案#
散热
#候选#
['烘干', '吸附', '加速', '收纳', '防护', '可收纳', '防震', '清洁', '竞技', '平衡', '可折叠', '助力', '蓝牙', '调色', '安全']"
36,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：乒乓球（品类）可以或者应该___（功能）
#答案#
运动
#候选#
['排汗', '防滑', '减震', '防走光', '透气', '速干', '清爽', '防晒', '可折叠', '透气防滑', '防滑透气']"
37,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：书架（品类）可以或者应该___（功能）
#答案#
防水
#候选#
['防护', '透气', '喷涂', '装饰', '清洁', '蓝牙', '可折叠', '照明', '收纳物品', '持久', '清爽', '加固', '拉伸', '亮色', '省力']"
38,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：休闲裤（品类）可以或者应该___（功能）
#答案#
反光
#候选#
['隐形', '收缩', '置物', '减肥', '叠穿', '放大', '净化', '收边', '收纳', '环保', '无痕', '不沾', '洁净', '储物', '恒温']"
