id,text,category
197,黑沉沉,neg
198,深层清洁,neg
199,夏款,neg
200,紫罗兰,neg
201,试驾,neg
202,耐磨防水,neg
203,辅助舒缓,neg
204,方领,neg
205,杀虫剂,neg
206,先天,neg
207,白彩色,neg
208,日系潮风,neg
209,天海蓝色,neg
210,黑糖话梅,neg
211,春天绿色,neg
212,气质灰,neg
213,打篮球,neg
214,抽绳修身,neg
215,风扇套,neg
216,胖美人,neg
217,润养,neg
218,漫画,neg
219,牙膏架,neg
220,清凉透气,neg
221,天空灰色,neg
222,丝绵,neg
223,小桌椅,neg
224,藕粉色,neg
225,润透,neg
226,新卡通,neg
227,提高遮瑕,neg
228,非洲风格,neg
229,欧日韩范,neg
230,咖绿,neg
231,云彩蓝色,neg
232,抗菌防霉,neg
233,两穿领,neg
234,酒壶,neg
235,萤光蓝,neg
236,乡村,neg
237,贵妇风,neg
238,防风效果,neg
239,手拎包,neg
240,煮咖啡,neg
241,天然石,neg
242,青春怀旧,neg
243,抗噪,neg
244,车钥匙套,neg
245,肤咖,neg
246,橙白,neg
247,PPR,neg
248,百搭黑色,neg
249,调奶,neg
250,鸡胸肉,neg
251,孕妇裙,neg
252,一片式,neg
253,螺母,neg
254,磨砂银色,neg
255,老虎椅,neg
256,法式衬衣,neg
257,抹绿,neg
258,波鞋,neg
259,伴郎服,neg
260,天山白色,neg
261,透粉,neg
262,省却,neg
263,梦幻白色,neg
264,小方领,neg
265,齐胸襦裙,neg
266,折叠收纳,neg
267,花衬衫,neg
268,顶棚,neg
269,超细纤维,neg
270,除水垢,neg
271,松紧下摆,neg
272,粉驼色,neg
273,茶缸,neg
274,点胶,neg
275,茵绿色,neg
276,调色,neg
277,褐,neg
278,保暖吸睛,neg
279,日风,neg
280,切尔西靴,neg
281,补水滋养,neg
282,妆前乳,neg
283,实灰,neg
284,板羽球配件,neg
285,轮滑运动,neg
286,椰汁,neg
287,太阳眼镜,neg
288,盲拍,neg
289,衣盒,neg
290,餐厅吊灯,neg
291,真皮座椅,neg
292,透气包臀,neg
293,公文包,neg
294,台球杆,neg
295,单靴,neg
296,减少消化,neg
297,漏勺,neg
298,A字裙,neg
299,彩黄,neg
300,亮黄,neg
301,丑萌范,neg
302,亚克力,neg
303,裤袜,neg
304,背带短裤,neg
305,自然黑,neg
306,台钓,neg
307,鞋架,neg
308,防晒手套,neg
309,兑换,neg
310,米绿,neg
311,狂野风,neg
312,无痕,neg
313,沙红,neg
314,过滤,neg
315,防水时尚,neg
316,衣柜床,neg
317,肉黄,neg
318,头层牛皮,neg
319,一字扣,neg
320,木瓜味,neg
321,后开叉,neg
322,防滑鞋套,neg
323,翡绿,neg
324,刷墙,neg
325,试水,neg
326,祖母绿色,neg
327,五谷杂粮,neg
328,浴霸,neg
329,氨糖,neg
330,北欧式,neg
331,水紫,neg
332,香杏,neg
333,宝蓝色,neg
334,蜜瓜,neg
335,时尚套装,neg
336,蝴蝶粉色,neg
337,眼膜贴,neg
338,游泳衣,neg
339,靛蓝色,neg
340,纯绿,neg
341,泛白,neg
342,玫瑰红,neg
343,表扬,neg
344,平板支架,neg
345,暗白,neg
346,暗青色,neg
347,月银,neg
348,内搭,neg
349,显档次,neg
350,水泵,neg
351,11月,neg
352,罗马帘,neg
353,上装,neg
354,钛金黑色,neg
355,足尖鞋,neg
356,柠檬,neg
357,卡其黄色,neg
358,铝箔垫,neg
359,吊椅,neg
360,谈价,neg
361,邻里,neg
362,都市范,neg
363,锌,neg
364,手机链,neg
365,隔离乳,neg
366,减税,neg
367,小土豆,neg
368,鞋架子,neg
369,皮草,neg
370,黑滔滔,neg
371,鱼线,neg
372,通用型,neg
373,激光灯,neg
374,灰黑色,neg
375,防滑防臭,neg
376,脚链,neg
377,沙发凳,neg
378,铅笔,neg
379,棉芯枕,neg
380,围裙,neg
381,蛇酒,neg
382,欧美潮范,neg
383,帆布鞋,neg
384,清新粉,neg
385,男士运动裤,neg
386,训狗器,neg
387,试衣镜,neg
388,调味罐,neg
389,情侣睡衣,neg
390,回形针,neg
391,翻边袖,neg
392,紧口袖,neg
393,保暖衣,neg
394,插销,neg
395,9分裤,neg
396,细碎褶,neg
397,防盗门,neg
398,深海蓝,neg
399,防蓝光,neg
400,大号,neg
401,砂色,neg
402,刀头,neg
403,减龄休闲,neg
404,爬爬服,neg
405,存钱罐,neg
406,得宠,neg
407,梅子色,neg
408,购物,neg
409,美肤,neg
410,酷黄色,neg
411,防异味,neg
412,民国,neg
413,秋款,neg
414,银玫红,neg
415,酸梅汤,neg
416,珠光蓝,neg
417,红葡萄酒,neg
418,土豆,neg
419,加厚防水,neg
420,运动潮风,neg
421,化妆,neg
422,褶皱点缀,neg
423,经典咖色,neg
424,托腹,neg
425,补气,neg
426,露肩裙,neg
427,湘妃粉色,neg
428,湖水绿色,neg
429,消磨,neg
430,放羊,neg
431,瘦手臂,neg
432,仙气,neg
433,灰咖色,neg
434,鹿茸酒,neg
435,后扣式,neg
436,冰川银,neg
437,买马,neg
438,手表配件,neg
439,大锅,neg
440,火柴,neg
441,幸福树,neg
442,水泥,neg
443,迷们,neg
444,红糖,neg
445,青梅,neg
446,羊绒衬衫,neg
447,可剪裁,neg
448,刺绣衫,neg
449,水培绿萝,neg
450,芽绿,neg
451,小女孩,neg
452,A4纸,neg
453,蓝绿橘色,neg
454,赛车红,neg
455,纯亮白色,neg
456,反折袖,neg
457,耳挂式,neg
458,风格家具,neg
459,鼻毛修剪器,neg
460,巨型贵宾,neg
461,隔离,neg
462,浴室防滑垫,neg
463,识字,neg
464,防喷,neg
465,纯烟灰色,neg
466,摄影服装,neg
467,水池,neg
468,猫砂,neg
469,训练袜,neg
470,浅浅粉,neg
471,提高,neg
472,华夫饼干,neg
473,汽车用品,neg
474,内领,neg
475,浅木色,neg
476,香草白,neg
477,独奏,neg
478,真皮包包,neg
479,眼镜,neg
480,防水面料,neg
481,隔音,neg
482,花梨木,neg
483,玫白黑,neg
484,隔断柜,neg
485,正绿色,neg
486,保险丝,neg
487,司机鞋,neg
488,笔芯,neg
489,星星袖,neg
490,跆拳道鞋,neg
491,乔其丝,neg
492,六角钢,neg
493,粉金色,neg
494,清洁牙齿,neg
495,覆盆子香型,neg
496,耳机壳,neg
497,暗深蓝色,neg
498,遮风,neg
499,淡浅黄,neg
500,高端黑色,neg
501,软硬木,neg
502,束口背包,neg
503,石头,neg
504,修身高领,neg
505,减龄穿搭,neg
506,设计保暖,neg
507,锁边机,neg
508,防踢保暖,neg
509,烟紫,neg
510,防冻液,neg
511,砖黄色,neg
512,半袖,neg
513,蓝青,neg
514,聚拢,neg
515,珍白,neg
516,果绿,neg
517,镭射银,neg
518,淡青蓝,neg
519,柔顺,neg
520,两用床,neg
521,蕾丝领,neg
522,薄荷蓝,neg
523,红玫瑰,neg
524,木箱,neg
525,时尚,neg
526,充电宝,neg
527,产妇裤,neg
528,工业橡胶,neg
529,藏青蓝色,neg
530,手镯,neg
531,压力锅配件,neg
532,羽毛白,neg
533,软皮包,neg
534,淡淡黄色,neg
535,红檀香,neg
536,防晒挡风,neg
537,门拉手,neg
538,三明治,neg
539,减龄穿,neg
540,抽绳下摆,neg
541,纯露,neg
542,学霸,neg
543,深翠蓝,neg
544,钓箱,neg
545,两翻领,neg
546,滤水,neg
547,话梅肉,neg
548,潮红色,neg
549,星河银,neg
550,螺丝帽,neg
551,蔬菜,neg
552,枸杞,neg
553,清新紫色,neg
554,软底鞋,neg
555,净肤,neg
556,雪纺衫,neg
557,平跟,neg
558,可拆领,neg
559,长指手套,neg
560,微黄,neg
561,甜美时尚风格,neg
562,罗马,neg
563,插肩,neg
564,木纹,neg
565,驼棕色,neg
566,皮紫色,neg
567,防水清洁,neg
568,拳击沙袋,neg
569,麻将凉席,neg
570,背包型,neg
571,高贵红色,neg
572,床围,neg
573,宽松休闲裤,neg
574,养生营养,neg
575,练诗,neg
576,飘逸蓝,neg
577,骚友,neg
578,背带裤,neg
579,防水百搭,neg
580,闻见,neg
581,派克服,neg
582,神秘黑色,neg
583,午夜蓝,neg
584,玩具剑,neg
585,雨衣布,neg
586,高雅黑色,neg
587,桶,neg
588,神秘绿色,neg
589,宅家,neg
590,汽车玻璃,neg
591,香草奶香味,neg
592,打锅,neg
593,连帽衫,neg
594,挎包,neg
595,超强吸水,neg
596,柠檬薄荷味,neg
597,热菜盘,neg
598,民族风,neg
599,防尿湿,neg
600,专业DV,neg
601,油腊棕,neg
602,香灰色,neg
603,灰黑,neg
604,亲子,neg
605,汽车贴纸,neg
606,休闲背包,neg
607,气质,neg
608,烤瓷,neg
609,塑身器材,neg
610,冰箱除味剂,neg
611,深芷青色,neg
612,沙漠驼色,neg
613,激情,neg
614,中药,neg
615,银白,neg
616,清理,neg
617,月经垫,neg
618,单色,neg
619,薄荷绿色,neg
620,键盘泥,neg
621,蛮童,neg
622,伯仲之间,neg
623,格子衫,neg
624,立体拼图,neg
625,滴胶,neg
626,胭红,neg
627,煤黑,neg
628,排球,neg
629,修复霜,neg
630,间白色,neg
631,爆谷杯,neg
632,水貂,neg
633,休闲袖,neg
634,花草茶壶,neg
635,巴洛克风格,neg
636,结实耐磨,neg
637,小书桌,neg
638,小飞袖,neg
639,搅拌磨碎机,neg
640,男T恤,neg
641,电子锁,neg
642,渐变蓝色,neg
643,胸衣,neg
644,天使白,neg
645,椅子垫,neg
646,蕾丝衬衫,neg
647,干发帽,neg
648,铁镀铬,neg
649,星巴克风,neg
650,毛玻璃,neg
651,生,neg
652,美邦风格,neg
653,试鞋,neg
654,新黑色,neg
655,纱裙,neg
656,麦芽糖,neg
657,封闭式,neg
658,6色,neg
659,波普蓝,neg
660,龙虾,neg
661,暖风机,neg
662,不可剥,neg
663,花蓝,neg
664,省力,neg
665,边桌,neg
666,后V领,neg
667,清爽控油,neg
668,梦寐,neg
669,魔幻蓝,neg
670,计步,neg
671,调温,neg
672,车挂,neg
673,显身材,neg
674,提亮肤,neg
675,果酱,neg
676,卤蛋,neg
677,阔绰,neg
678,万圣节,neg
679,3D嘻哈风格,neg
680,耐晒,neg
681,亚麻,neg
682,视觉显瘦,neg
683,收腿,neg
684,马桶,neg
685,杜仲,neg
686,猜中,neg
687,百叶窗,neg
688,发汗,neg
689,蜜桃,neg
690,珠黑,neg
691,卖国,neg
692,血桃,neg
693,汽车空调,neg
694,纸尿裤,neg
695,咖啡红色,neg
696,一次性餐盒,neg
697,水晶,neg
698,挂包,neg
699,红虾,neg
700,护士,neg
701,显活力,neg
702,车用,neg
703,防震,neg
704,馨粉,neg
705,凤眼果,neg
706,可爱装,neg
707,面条,neg
708,特种,neg
709,时装款,neg
710,防晒遮脸,neg
711,学生百搭,neg
712,粉紫色,neg
713,驼色,neg
714,金属蓝,neg
715,楠竹,neg
716,酒吧,neg
717,名片,neg
718,条纹阔腿裤,neg
719,蟹香,neg
720,羊羔毛,neg
721,朋克黄色,neg
722,厨房刀具,neg
723,白黄色,neg
724,月白色,neg
725,小蛋糕,neg
726,墨盒,neg
727,伴娘礼服,neg
728,爸妈,neg
729,猫跟,neg
730,钥匙链,neg
731,冲饮麦片,neg
732,马达,neg
733,泡酒,neg
734,漱口水,neg
735,噤若寒蝉,neg
736,雪花酥,neg
737,纯净白色,neg
738,亮光银,neg
739,北欧休闲风,neg
740,电子表,neg
741,奶瓶,neg
742,成熟风格,neg
743,春秋季,neg
744,七孔纤维,neg
745,睡袍,neg
746,船袜,neg
747,本青,neg
748,解郁,neg
749,洁净肌肤,neg
750,鸭蛋,neg
751,亚麻衫,neg
752,铁矿蓝,neg
753,麻花领,neg
754,马卡龙色,neg
755,黑褐色,neg
756,亲肤色,neg
757,遮盖黑头,neg
758,女士内裤,neg
759,遮阳挡风,neg
760,素面,neg
761,多格柜,neg
762,草莓红色,neg
763,姜,neg
764,搅拌机,neg
765,桔色,neg
766,初中,neg
767,防晒皮肤,neg
768,被子收纳袋,neg
769,冰毛巾,neg
770,紫菜,neg
771,豆蓝色,neg
772,数据线,neg
773,跳舞毯,neg
774,照地灯,neg
775,烫黑,neg
776,彩金,neg
777,荷红色,neg
778,黑紫色,neg
779,首案红,neg
780,显瘦修身,neg
781,托胸,neg
782,油红,neg
783,开会桌,neg
784,连衣裙子,neg
785,变身器,neg
786,防弹衣,neg
787,除锈,neg
788,高帮,neg
789,画纸,neg
790,小狗床,neg
791,爆米花,neg
792,浅肤色,neg
793,裤,neg
794,随身WIFI,neg
795,增食欲,neg
796,灯带,neg
797,试卷,neg
798,计算器,neg
799,孕期,neg
800,手刹,neg
801,橄榄油,neg
802,长筒,neg
803,甜美怀旧范,neg
804,骆驼棕,neg
805,蜂箱,neg
806,仿古白,neg
807,玛瑙绿,neg
808,双红色,neg
809,儿童西装,neg
810,普罗蓝色,neg
811,早餐,neg
812,刷题,neg
813,马牙砂,neg
814,咖色,neg
815,重型避火服,neg
816,手机包包,neg
817,旧书,neg
818,朱红色,neg
819,袜盒,neg
820,杏仁巧克力,neg
821,徒步,neg
822,祛黄褐斑,neg
823,咖啡粉,neg
824,发簪,neg
825,除潮,neg
826,桑拿服,neg
827,吉祥风,neg
828,显臀,neg
829,野天麻,neg
830,跑步裤,neg
831,渔妇,neg
832,小编,neg
833,路标白色,neg
834,辣椒,neg
835,庄青,neg
836,冰垫,neg
837,简欧风,neg
838,小灯,neg
839,灰红色,neg
840,香金色,neg
841,防滑透气,neg
842,手提拉链,neg
843,背诵,neg
844,供桌,neg
845,全棉纱卡,neg
846,防晒穿,neg
847,发光,neg
848,水滴领,neg
849,小女生,neg
850,双白色,neg
851,淡青灰色,neg
852,淡黑,neg
853,毕业班服,neg
854,茄子紫,neg
855,椒盐,neg
856,鸡蛋,neg
857,全橙色,neg
858,手账本,neg
859,黄昏,neg
860,全咖啡,neg
861,休闲斜挎包,neg
862,置物柜,neg
863,门吸,neg
864,奢华红,neg
865,钛黑色,neg
866,闪光银,neg
867,香港风,neg
868,教师用书,neg
869,筷子架,neg
870,锁,neg
871,简约中式,neg
872,背心型,neg
873,不苟言笑,neg
874,排他,neg
875,卡其绿,neg
876,皮箱,neg
877,运动型,neg
878,脚蹬,neg
879,素白,neg
880,防臭透气,neg
881,纳瓦白,neg
882,典雅紫,neg
883,陶瓷碗,neg
884,银光绿,neg
885,送女友,neg
886,黄豆,neg
887,点火,neg
888,瘦腿裤,neg
889,纯深紫色,neg
890,钢琴黑,neg
891,活氧,neg
892,电源,neg
893,香杏色,neg
894,跑步表,neg
895,休闲背心,neg
896,斜挎背包,neg
897,蓝露,neg
898,硒鼓,neg
899,荔枝菊,neg
900,星火红,neg
901,地萝卜,neg
902,妖冶,neg
903,蛋糕勺,neg
904,显高高腰,neg
905,静电服,neg
906,皱皱袖,neg
907,洗衣盆,neg
908,面包机,neg
909,草帽子,neg
910,高弹,neg
911,收腰性感,neg
912,助孕,neg
913,摩卡色,neg
914,辟邪,neg
915,礼服领,neg
916,透肤色,neg
917,红绿黄,neg
918,光亮,neg
919,防痱子,neg
920,牛仔裤,neg
921,蔷薇色,neg
922,钳子,neg
923,军装,neg
924,促进,neg
925,煎饼铲,neg
926,床上四件套,neg
927,瓷板,neg
928,胸前真口袋,neg
929,冬瓜,neg
930,浪漫白,neg
931,平底,neg
932,电脑增高架,neg
933,美式现代,neg
934,温婉范,neg
935,八音盒,neg
936,星空灰色,neg
937,珐琅质,neg
938,低胸衫,neg
939,洗脸,neg
940,暗青,neg
941,闪亮银色,neg
942,调节肌肤,neg
943,影视灯,neg
944,浅淡黄,neg
945,鸽子灰,neg
946,果汁,neg
947,A字,neg
948,蛋槽垫,neg
949,6分裤,neg
950,复古运动鞋,neg
951,松糕,neg
952,足球装,neg
953,极地背包,neg
954,防摔衣,neg
955,直发夹板,neg
956,竹制,neg
957,无袖,neg
958,清洁面膜,neg
959,成人丝袜,neg
960,菱米,neg
961,拉菲红,neg
962,牛筋软底,neg
963,甜美,neg
964,桌游配件,neg
965,圣女果干,neg
966,淡雅绿,neg
967,瓷碗,neg
968,零件柜,neg
969,矿蓝色,neg
970,贵族棕,neg
971,星期日,neg
972,养颜,neg
973,茄色,neg
974,婴儿玩具,neg
975,碧天蓝色,neg
976,多种口味,neg
977,小盖袖,neg
978,美式奢华风,neg
979,纺纱,neg
980,气质粉,neg
981,宽布,neg
982,蓝梅,neg
983,外衫,neg
984,潮娃,neg
985,发膏,neg
986,定型枕,neg
987,清新口气,neg
988,洞洞Q棉,neg
989,宽松裤子,neg
990,拷绸,neg
991,小白裙,neg
992,瓷片,neg
993,侧吸,neg
994,紧身裤,neg
995,小新清风,neg
996,客厅摆件,neg
997,披肩领,neg
998,灵芝,neg
999,高贵黑,neg
1000,打底衬衫,neg
1001,舒缓抗皱,neg
1002,玉粉色,neg
1003,钛银色,neg
1004,老式,neg
1005,T型带,neg
1006,陶瓷钟,neg
1007,蚊香片,neg
1008,男帽,neg
1009,玄米茶,neg
1010,庄稼汉,neg
1011,原黑色,neg
1012,健身鞋,neg
1013,仿古风格,neg
1014,染发,neg
1015,除螨虫,neg
1016,收腹美体,neg
1017,美式做旧风,neg
1018,菠萝黄,neg
1019,防晒,neg
1020,日式简约风格,neg
1021,望远镜,neg
1022,药膳酥,neg
1023,细灯芯绒,neg
1024,壮年,neg
1025,细带,neg
1026,工长,neg
1027,韵黑,neg
1028,竹绿色,neg
1029,金桔,neg
1030,祛除眼袋,neg
1031,雨裤,neg
1032,驱虫,neg
1033,瘦大腿,neg
1034,降压减肥,neg
1035,表壳,neg
1036,投影机,neg
1037,圆领衫,neg
1038,瘦身美体,neg
1039,喇叭袖,neg
1040,遛娃,neg
1041,手抓包,neg
1042,水果叉,neg
1043,XIZHUANG,neg
1044,提子干,neg
1045,腌鸡蛋,neg
1046,漱口杯,neg
1047,放像机,neg
1048,白云石粉,neg
1049,中长袖,neg
1050,泡泡袖,neg
1051,斜吊带,neg
1052,宠物厕所,neg
1053,八爪鱼,neg
1054,扑人,neg
1055,燃油摩托车,neg
1056,麻质,neg
1057,花型,neg
1058,呢子大衣,neg
1059,圆弧,neg
1060,聚能,neg
1061,牛仔服,neg
1062,新鲜蔬菜,neg
1063,棉麻白衬衫,neg
1064,兔兔装,neg
1065,油瓶,neg
1066,链条,neg
1067,金粉,neg
1068,深桔黄色,neg
1069,褐紫,neg
1070,海藻,neg
1071,果橙色,neg
1072,格纹衫,neg
1073,糖果,neg
1074,运动蓝,neg
1075,暖气,neg
1076,厕纸,neg
1077,菠萝味,neg
1078,防风,neg
1079,羊绒衬衣,neg
1080,修护肌肤,neg
1081,玛瑙石,neg
1082,修身遮,neg
1083,遮胖,neg
1084,冬装,neg
1085,兔子,neg
1086,铁盒,neg
1087,米黑,neg
1088,耳机盒,neg
1089,天池蓝色,neg
1090,百搭保暖,neg
1091,岗石,neg
1092,美白补水,neg
1093,木盒,neg
1094,灯箱,neg
1095,醒酒糖,neg
1096,新紫红,neg
1097,乌红色,neg
1098,梦幻紫色,neg
1099,哑黄色,neg
1100,玉米黄色,neg
1101,西柚色,neg
1102,日韩风,neg
1103,男士夹克,neg
1104,情趣玩具,neg
1105,毛绒书包,neg
1106,试茶,neg
1107,汽车罩,neg
1108,鸦衔草,neg
1109,学生床,neg
1110,魔力橙色,neg
1111,医疗服,neg
1112,荷粉,neg
1113,芙蓉粉,neg
1114,湖青色,neg
1115,垫发器,neg
1116,指甲器,neg
1117,星空紫,neg
1118,糖果粉色,neg
1119,不锈钢,neg
1120,洁白,neg
1121,软化,neg
1122,银项链,neg
1123,提臀,neg
1124,手提包带,neg
1125,仿红,neg
1126,墨黑色,neg
1127,除尘换气,neg
1128,灰褐色,neg
1129,悄悄,neg
1130,盘发器,neg
1131,储物柜,neg
1132,魅红色,neg
1133,淡雅范,neg
1134,防晒减震,neg
1135,靓绿,neg
1136,蜜桃色,neg
1137,稽查,neg
1138,煮红豆,neg
1139,避暑,neg
1140,果仁,neg
1141,西柚红,neg
1142,项圈,neg
1143,变焦,neg
1144,美容仪,neg
1145,抽泣,neg
1146,温馨黄,neg
1147,中蓝,neg
1148,藕色,neg
1149,车坐垫,neg
1150,绒蓝,neg
1151,化妆箱,neg
1152,奶奶灰色,neg
1153,浅浅粉色,neg
1154,黄油钙基润滑脂,neg
1155,美国风,neg
1156,超减龄,neg
1157,豆豉,neg
1158,双针车,neg
1159,秋衣秋裤,neg
1160,深驼,neg
1161,蓝白条纹,neg
1162,双黄,neg
1163,现代知性风格,neg
1164,柠檬香梨味,neg
1165,玉米灯,neg
1166,穿耳器,neg
1167,圆球,neg
1168,夜店风格,neg
1169,锆石,neg
1170,纱棉,neg
1171,水粉色,neg
1172,蒸肉,neg
1173,纯色绿色,neg
1174,透气贴合,neg
1175,清凉绿色,neg
1176,檀红色,neg
1177,蓝桔色,neg
1178,晶蓝色,neg
1179,鼻贴,neg
1180,休闲裤,neg
1181,叠穿风,neg
1182,青中年,neg
1183,清纯范,neg
1184,显露,neg
1185,冰种,neg
1186,豌豆蓝色,neg
1187,拉丁裤,neg
1188,毛马夹,neg
1189,真丝,neg
1190,开胃,neg
1191,活血,neg
1192,保护壳,neg
1193,碗柜,neg
1194,健身衣,neg
1195,纸箱,neg
1196,小脚裤,neg
1197,保暖效果,neg
1198,橱,neg
1199,钢木,neg
1200,方糖,neg
1201,塔链,neg
1202,纽扣领,neg
1203,都绿,neg
1204,潮鞋,neg
1205,止滑垫,neg
1206,油葱,neg
1207,狗笼子,neg
1208,床刷,neg
1209,围棋,neg
1210,男篮球鞋,neg
1211,双翻领,neg
1212,点读笔,neg
1213,糖人,neg
1214,赶上,neg
1215,茶青,neg
1216,香包,neg
1217,土绿,neg
1218,珍珠银,neg
1219,镜子,neg
1220,打揽,neg
1221,裤裙,neg
1222,中蓝色,neg
1223,栗黑色,neg
1224,标准红,neg
1225,哑蓝,neg
1226,台湾潮流,neg
1227,查究,neg
1228,升学,neg
1229,美容亮肤,neg
1230,餐椅,neg
1231,米黄,neg
1232,葱油,neg
1233,T恤,neg
1234,父亲,neg
1235,工装制服,neg
1236,防烟,neg
1237,花园,neg
1238,数码印花,neg
1239,垃圾分类,neg
1240,茶几,neg
1241,可旋转,neg
1242,小方几,neg
1243,玫红色,neg
1244,妻子,neg
1245,显示器支架,neg
1246,纱料,neg
1247,西装裤,neg
1248,科技布,neg
1249,大磁铁,neg
1250,吸汗穿,neg
1251,内衬裤,neg
1252,欧美街拍,neg
1253,硅胶,neg
1254,青春黄色,neg
1255,防油防水,neg
1256,显胸,neg
1257,背包袋,neg
1258,数码相机,neg
1259,牛皮,neg
1260,藏式,neg
1261,订扣机,neg
1262,防水布,neg
1263,细帆布,neg
1264,遮住脸,neg
1265,小浣熊,neg
1266,矮凳,neg
1267,登录,neg
1268,粉色衬衫,neg
1269,运动套装,neg
1270,偏紫色,neg
1271,显肚子,neg
1272,保湿持久,neg
1273,纯香,neg
1274,锯,neg
1275,刻度杯,neg
1276,客厅沙发,neg
1277,大摆件,neg
1278,开叉裙,neg
1279,菘蓝色,neg
1280,薄荷紫色,neg
1281,万年历,neg
1282,烟雾紫色,neg
1283,雅棕色,neg
1284,牛仔丝,neg
1285,麻将桌,neg
1286,4月,neg
1287,手机电脑,neg
1288,美式文艺风,neg
1289,防水防滑,neg
1290,黄金摆件,neg
1291,贴合眼球,neg
1292,学习裤,neg
1293,黑米色,neg
1294,大豆油,neg
1295,落地灯,neg
1296,木质,neg
1297,松紧腰,neg
1298,女巫范,neg
1299,男装短裤,neg
1300,琥珀香调,neg
1301,简约美式,neg
1302,罗马风,neg
1303,简欧范,neg
1304,帆布板鞋,neg
1305,光白,neg
1306,面试,neg
1307,精致风格,neg
1308,话机,neg
1309,鄂伦春族,neg
1310,中央民族范,neg
